#depth	age	sigma_age	deporate	sigma_deporate	deporate_model	sigma_deporate_model
3.200000000000000000e+01	3.892676125689081346e+03	6.121820822407595415e+02	9.996540336453826545e-03	1.522731926535395540e-02	2.000000000000000042e-02	2.000000000000000000e+00
3.300000000000000000e+01	3.992710734297957515e+03	4.824526311544092891e+02	9.855730799921970722e-03	1.552355087909157265e-02	2.000000000000000042e-02	2.000000000000000000e+00
3.400000000000000000e+01	4.094174544572475043e+03	3.384838633008472470e+02	9.699945353213133836e-03	1.564202506551802541e-02	2.000000000000000042e-02	2.000000000000000000e+00
3.500000000000000000e+01	4.197267908873619490e+03	1.847373497707040428e+02	9.532682363097266451e-03	1.552508716786603349e-02	2.000000000000000042e-02	2.000000000000000000e+00
3.600000000000000000e+01	4.302170176872307820e+03	7.061302799999162971e+01	9.362637783585455245e-03	1.512416209834650457e-02	2.000000000000000042e-02	2.000000000000000000e+00
3.700000000000000000e+01	4.408977683807286667e+03	1.861854101256249407e+02	9.203312482092832619e-03	1.447226134176716160e-02	2.000000000000000042e-02	2.000000000000000000e+00
3.800000000000000000e+01	4.517634213936599735e+03	3.442628954495420430e+02	9.062847608110220776e-03	1.365997714741768766e-02	2.000000000000000042e-02	2.000000000000000000e+00
3.900000000000000000e+01	4.627974809215407731e+03	4.936806892465736496e+02	8.944400654978992837e-03	1.276269383516233889e-02	2.000000000000000042e-02	2.000000000000000000e+00
4.000000000000000000e+01	4.739776598801313412e+03	6.282016809572635339e+02	8.851185541848117719e-03	1.185113160129954574e-02	2.000000000000000042e-02	2.000000000000000000e+00
4.100000000000000000e+01	4.852755814441075017e+03	7.443406684758542724e+02	8.786406369340421171e-03	1.099745461717694869e-02	2.000000000000000042e-02	2.000000000000000000e+00
4.200000000000000000e+01	4.966567987241258379e+03	8.393601277883284411e+02	8.753208357281550001e-03	1.027931227446668254e-02	2.000000000000000042e-02	2.000000000000000000e+00
4.300000000000000000e+01	5.080811811811951884e+03	9.110167161415126884e+02	8.754646972948034248e-03	9.779304303189732817e-03	2.000000000000000042e-02	2.000000000000000000e+00
4.400000000000000000e+01	5.195036863157826701e+03	9.575315608598336894e+02	8.793673169163919098e-03	9.575846626642956980e-03	2.000000000000000042e-02	2.000000000000000000e+00
