#depth	thinning	uncertainty (%)
depth	thinning	rel_unc	comment
1442.6	0.60175	0.11315330286663897
1447.7	0.60033	0.1135042393350324
1452.7	0.59893	0.11385804685021624
1457.7	0.59756	0.11420108440993373
1462.3	0.59622	0.11452483982422595
1467.0	0.59493	0.11485216748188863
1471.6	0.59364	0.11517249511488445
1476.0	0.59236	0.11548045107704773
1480.6	0.59109	0.11580131621242111
1484.9	0.58986	0.11610212592818635
1489.4	0.58863	0.11641608480709445
1493.8	0.5874	0.11672625127681308
1498.2	0.58618	0.11702889897301169
1502.4	0.58499	0.1173216636181815
1506.6	0.5838	0.11761733470366564
1510.8	0.58258	0.11790998661128087
1515.2	0.58137	0.1182155941999071
1519.5	0.58014	0.11851794394456511
1524.0	0.57892	0.11883161749464519
1528.4	0.57768	0.11914035452153442
1532.8	0.57646	0.11944107136661694
1537.0	0.57527	0.11973855754689103
1541.2	0.57408	0.12003030936454848
1545.5	0.57287	0.120329219543701
1549.8	0.57167	0.12062903423303653
1554.1	0.57047	0.12093011025996109
1558.3	0.56929	0.12122117022958423
1562.3	0.56812	0.12150601985496022
1566.6	0.56696	0.12180047975165798
1570.8	0.56577	0.12209378369302014
1575.1	0.5646	0.12239461565710237
1579.1	0.56343	0.1226771737394175
1583.4	0.56227	0.12297828445408789
1587.7	0.56109	0.12327255876953788
1591.7	0.55991	0.12355199942847958
1596.0	0.5587	0.12385537855736531
1600.3	0.55751	0.12415382683718679
1604.6	0.55634	0.12445267282596974
1608.7	0.55517	0.12473836842768879
1612.8	0.55401	0.1250284290897276
1616.9	0.55286	0.12531020511521904
1621.1	0.55172	0.1256035670267527
1625.0	0.55059	0.12587951106994313
1628.8	0.54948	0.12614471864308074
1632.9	0.54837	0.12642741214873168
1636.8	0.54727	0.12670162808120305
1640.6	0.54618	0.12696730015745725
1644.3	0.54511	0.12722569756562896
1648.3	0.54403	0.12750399794129
1652.3	0.54293	0.12778258707384008
1656.2	0.54183	0.12805307937914104
1659.9	0.54075	0.12831437817845587
1663.7	0.53968	0.12858175214942186
1667.7	0.53859	0.12885868657048963
1671.6	0.53751	0.12913062082565904
1675.5	0.53643	0.12939992170460266
1679.2	0.53537	0.12965986140426247
1683.1	0.53431	0.12993019033894182
1686.6	0.53326	0.13017477403142935
1690.4	0.53223	0.13044360520827464
1694.2	0.5312	0.13070406626506026
1697.7	0.53017	0.13095044985570667
1701.3	0.52915	0.13119909288481527
1704.9	0.52812	0.1314511853366659
1708.5	0.52711	0.13170306008233576
1712.0	0.52614	0.1319496711901775
1715.5	0.52517	0.13218957670849438
1718.9	0.52422	0.13243104040288428
1722.3	0.52325	0.13266889632107023
1725.9	0.52225	0.1329191000478698
1729.6	0.52125	0.13317218225419666
1733.1	0.52027	0.13341918619178503
1736.4	0.51929	0.1336517167671243
1740.1	0.51828	0.13390445319132516
1743.7	0.51727	0.13415817658089585
1747.3	0.51623	0.13441295546558707
1751.0	0.5152	0.1346680900621118
1754.7	0.51419	0.13493066765203524
1758.3	0.51318	0.13517674110448577
1761.9	0.51216	0.13542838175570138
1765.5	0.51115	0.13567837229775995
1769.0	0.51017	0.13592527980869124
1772.4	0.50917	0.13616277471178584
1776.1	0.50815	0.13641641247663094
1779.9	0.50714	0.1366841503332413
1783.1	0.50618	0.13690781935279941
1786.6	0.50522	0.13715411108032144
1790.0	0.50425	0.13738621715418942
1793.5	0.50328	0.1376311397234144
1797.1	0.5023	0.1378837348198288
1800.5	0.50133	0.13811860451199806
1803.8	0.5004	0.1383553157474021
1807.2	0.49945	0.13859044949444388
1810.9	0.49847	0.1388448652877806
1814.0	0.49749	0.13906812197230095
1817.4	0.49654	0.13930196962983848
1821.0	0.49559	0.13954882059767146
1824.3	0.49464	0.1397824680575772
1827.6	0.4937	0.14001620417257443
1831.0	0.49275	0.14025164890918315
1834.4	0.49181	0.1404892133140847
1837.8	0.49087	0.14072768757512175
1841.1	0.48992	0.14095770738079685
1844.7	0.48896	0.14120582460732983
1848.0	0.48801	0.1414356263191328
1851.2	0.48707	0.1416593097501386
1854.7	0.48612	0.14190323376943964
1858.0	0.48516	0.1421366147250392
1861.5	0.48421	0.14237624171330623
1864.8	0.48326	0.14261060298803954
1868.3	0.48232	0.1428491457953226
1871.4	0.48142	0.14307257695982717
1874.7	0.48051	0.1432998272668623
1878.2	0.47953	0.14354263549725774
1881.7	0.47855	0.1437864381987253
1885.2	0.47758	0.1440303195276184
1888.6	0.47661	0.14426889909989302
1892.1	0.47562	0.14451452840502924
1895.6	0.47463	0.14475696858605652
