#top depth (m)	bottom depth (m)	duration (yr)	sigma duration (yr)
depth_top	depth_bot	duration	dur_unc	comment
2703.329	2706.658	100	1.0
2706.658	2710.026	100	1.0
2710.026	2713.401	100	1.0
2713.401	2716.775	100	1.0
2716.775	2719.998	100	1.0
2719.998	2723.418	100	1.0
2723.418	2726.884	100	1.0
2726.884	2730.449	100	1.0
2730.449	2733.995	100	1.0
2733.995	2737.707	100	1.0
2737.707	2741.494	100	1.0
2741.494	2744.989	100	1.0
2744.989	2748.642	100	1.0
2748.642	2752.229	100	1.0
2752.229	2755.73	100	1.0
2755.73	2759.519	100	1.0
2759.519	2763.191	100	1.0
2763.191	2766.775	100	1.0
2766.775	2770.116	100	1.0
2770.116	2773.492	100	1.0
2773.492	2776.799	100	1.0
2776.799	2780.213	100	1.0
2780.213	2783.352	100	1.0
2783.352	2786.417	100	1.0
2786.417	2789.735	100	1.0
2789.735	2793.011	100	1.0
2793.011	2796.251	100	1.0
2796.251	2799.467	100	1.0
2799.467	2802.547	100	1.0
2802.547	2805.744	100	1.0
2805.744	2808.744	100	1.0
2808.744	2811.761	100	1.0
2811.761	2814.733	100	1.0
2814.733	2817.753	100	1.0
2817.753	2820.507	100	1.0
2820.507	2823.295	100	1.0
2823.295	2826.048	100	1.0
2826.048	2828.64	100	1.0
2828.64	2831.327	100	1.0
2831.327	2834.038	100	1.0
2834.038	2836.784	100	1.0
2836.784	2839.495	100	1.0
2839.495	2842.219	100	1.0
2842.219	2844.81	100	1.0
2844.81	2847.323	100	1.0
2847.323	2849.889	100	1.0
