#depth	accumulation (m ice equiv)	error (%)
depth	deporate	rel_unc	comment
162.36	0.2293	0.08722197993894461
164.778	0.235	0.08510638297872342
166.909	0.2329	0.08587376556462001
169.209	0.2294	0.08718395815170009
171.428	0.23	0.08695652173913043
173.67	0.2322	0.08613264427217916
175.938	0.2377	0.08413967185527976
178.304	0.2395	0.08350730688935282
180.661	0.237	0.08438818565400845
182.853	0.2323	0.08609556607834697
185.038	0.2307	0.08669267446900737
187.32	0.2311	0.08654262224145391
189.672	0.2409	0.08302200083022
191.98	0.2429	0.08233841086867023
194.322	0.2409	0.08302200083022
196.619	0.2413	0.08288437629506838
198.972	0.2431	0.08227067050596462
201.51	0.2493	0.08022462896109106
203.764	0.249	0.08032128514056225
206.138	0.2352	0.08503401360544219
208.359	0.2355	0.08492569002123143
210.547	0.2366	0.08453085376162299
212.878	0.2423	0.08254230293025176
215.317	0.2498	0.08006405124099279
217.582	0.2506	0.07980845969672785
220.142	0.2413	0.08288437629506838
222.484	0.242	0.08264462809917356
224.584	0.2322	0.08613264427217916
226.937	0.232	0.08620689655172413
229.048	0.2403	0.08322929671244278
231.444	0.245	0.0816326530612245
233.753	0.2532	0.07898894154818326
236.247	0.2597	0.07701193685021179
238.665	0.2608	0.0766871165644172
241.291	0.2513	0.07958615200955033
243.654	0.2552	0.07836990595611286
245.93	0.2523	0.07927070947284978
248.479	0.2528	0.0791139240506329
250.919	0.2572	0.07776049766718508
253.206	0.2478	0.08071025020177564
255.624	0.2519	0.07939658594680428
258.064	0.2551	0.07840062720501764
260.438	0.2597	0.07701193685021179
262.954	0.2638	0.07581501137225172
265.558	0.2666	0.07501875468867217
268.02	0.262	0.07633587786259542
270.416	0.2509	0.07971303308090873
272.67	0.2544	0.07861635220125786
275.131	0.2567	0.07791195948578107
277.549	0.2644	0.075642965204236
280.153	0.2601	0.07689350249903883
282.44	0.2506	0.07980845969672785
284.847	0.2496	0.08012820512820513
287.079	0.2468	0.08103727714748785
289.453	0.2483	0.08054772452678212
291.849	0.2464	0.08116883116883117
294.103	0.2481	0.08061265618702136
296.335	0.2454	0.08149959250203749
298.764	0.2467	0.08107012565869477
301.061	0.2522	0.07930214115781127
303.457	0.2485	0.08048289738430583
305.875	0.2561	0.07809449433814916
308.337	0.2603	0.0768344218209758
310.711	0.2593	0.07713073659853452
313.096	0.2613	0.07654037504783774
315.569	0.2619	0.07636502481863307
318.107	0.2634	0.0759301442672741
320.46	0.2601	0.07689350249903883
323.064	0.2577	0.07760962359332557
325.328	0.2607	0.07671653241273495
327.899	0.2559	0.07815552950371238
330.296	0.2615	0.07648183556405354
332.527	0.2573	0.07773027594247961
335.088	0.2583	0.07742934572202866
337.506	0.2583	0.07742934572202866
339.956	0.2571	0.07779074290159471
342.287	0.2586	0.07733952049497293
344.759	0.2603	0.0768344218209758
347.09	0.2555	0.07827788649706457
349.464	0.2466	0.08110300081103
351.707	0.2506	0.07980845969672785
353.906	0.2519	0.07939658594680428
356.422	0.2595	0.07707129094412331
358.895	0.2704	0.07396449704142012
361.39	0.2657	0.07527286413248024
363.797	0.2599	0.07695267410542515
366.335	0.2589	0.0772499034376207
368.6	0.2604	0.07680491551459293
370.985	0.2551	0.07840062720501764
373.501	0.2492	0.08025682182985554
375.678	0.25	0.08
377.921	0.2435	0.08213552361396305
380.164	0.247	0.08097165991902834
382.506	0.2558	0.07818608287724785
384.77	0.2602	0.0768639508070715
387.407	0.2583	0.07742934572202866
