#depth	LID	stdev (%)
depth	LID	rel_unc	comment
606.8606	69.4808	0.1
609.322	69.4526	0.1
611.513	69.5881	0.1
613.9121	69.7621	0.1
616.0892	69.814	0.1
618.358	69.73	0.1
620.5551	69.5683	0.1
622.981	69.4618	0.1
625.313	69.4306	0.1
627.6085	69.4982	0.1
629.8794	69.5346	0.1
632.0895	69.5301	0.1
634.7229	69.4039	0.1
636.9982	69.3168	0.1
639.1832	69.2102	0.1
641.4537	69.1608	0.1
643.8625	69.2178	0.1
645.9767	69.4085	0.1
648.158	69.5986	0.1
650.4595	69.6596	0.1
652.7955	69.6571	0.1
654.991	69.5528	0.1
657.1736	69.5309	0.1
659.4416	69.6044	0.1
661.8057	69.7043	0.1
663.9096	69.7922	0.1
666.1452	69.7923	0.1
668.1539	69.7421	0.1
670.3089	69.6961	0.1
672.4963	69.7684	0.1
674.6372	69.731	0.1
676.7624	69.6489	0.1
678.9701	69.486	0.1
681.063	69.2979	0.1
683.2405	69.2024	0.1
685.279	69.1464	0.1
687.6338	69.0934	0.1
689.7565	69.0982	0.1
691.6591	69.0625	0.1
693.8135	69.0127	0.1
696.0137	68.9375	0.1
698.2646	68.8728	0.1
700.1913	68.7827	0.1
702.1913	68.6014	0.1
704.3362	68.4332	0.1
706.5543	68.3412	0.1
708.6119	68.366	0.1
710.667	68.4076	0.1
712.8383	68.4369	0.1
715.0132	68.4025	0.1
717.1017	68.3973	0.1
719.4055	68.3529	0.1
721.4273	68.3341	0.1
723.5984	68.3287	0.1
725.7037	68.3376	0.1
727.7928	68.2727	0.1
729.869	68.2396	0.1
731.8727	68.2199	0.1
733.9653	68.2017	0.1
735.9875	68.225	0.1
738.1706	68.1414	0.1
740.3087	68.1618	0.1
742.4687	68.2304	0.1
744.4097	68.3197	0.1
746.3503	68.3783	0.1
748.498	68.3769	0.1
750.7511	68.3591	0.1
753.0469	68.3668	0.1
755.185	68.3161	0.1
757.224	68.2364	0.1
759.1875	68.1348	0.1
761.2956	68.0133	0.1
763.5442	67.9209	0.1
765.6168	67.8823	0.1
767.636	67.8856	0.1
769.8056	67.9183	0.1
771.999	67.9418	0.1
774.0526	68.026	0.1
776.2145	68.1002	0.1
778.429	68.1437	0.1
780.6076	68.1132	0.1
782.8259	68.1194	0.1
785.0672	68.2484	0.1
787.3065	68.4705	0.1
789.5271	68.5818	0.1
791.7653	68.5122	0.1
793.7772	68.4138	0.1
795.7958	68.3535	0.1
797.7885	68.4361	0.1
799.9606	68.6042	0.1
802.038	68.6876	0.1
804.1182	68.7364	0.1
806.127	68.7393	0.1
808.3406	68.7827	0.1
810.4897	68.828	0.1
812.6959	68.882	0.1
814.6972	68.9069	0.1
816.8559	68.9008	0.1
818.8721	68.8955	0.1
821.0384	68.7902	0.1
823.25	68.6804	0.1
825.3721	68.49	0.1
827.447	68.1901	0.1
829.6094	67.9578	0.1
831.7294	67.8059	0.1
833.6874	67.8398	0.1
835.7949	67.9559	0.1
838.036	68.0504	0.1
840.2613	68.1011	0.1
842.5437	68.1476	0.1
844.6873	68.2194	0.1
846.9161	68.2668	0.1
849.1117	68.2966	0.1
851.0543	68.2417	0.1
853.2028	68.2437	0.1
855.3829	68.3002	0.1
857.473	68.3902	0.1
859.6758	68.4134	0.1
861.9171	68.4307	0.1
863.9392	68.4261	0.1
866.0864	68.4119	0.1
868.2673	68.406	0.1
870.3757	68.4544	0.1
872.4981	68.5795	0.1
874.567	68.7025	0.1
876.4582	68.7909	0.1
878.7157	68.7515	0.1
880.7406	68.5931	0.1
