Age [a] (b2k),Depth ice/snow [m] (NGRIP1),Depth ice/snow [m] (NGRIP2),MCE [a],comb_ngrip
3969,689.95,,6,689.95
3970,690.07,,6,690.07
3971,690.23,,6,690.23
3972,690.39,,6,690.39
3973,690.57,,6,690.57
3974,690.7,,6,690.7
3975,690.91,,6,690.91
3976,691.09,,6,691.09
3977,691.23,,6,691.23
3978,691.4,,6,691.4
3979,691.56,,6,691.56
3980,691.68,,6,691.68
3981,691.91,,6,691.91
3982,692.09,,6,692.09
3983,692.28,,6,692.28
3984,692.43,,6,692.43
3985,692.58,,6,692.58
3986,692.72,,6,692.72
3987,692.85,,6,692.85
3988,692.98,,6,692.98
3989,693.09,,6,693.09
3990,693.29,,6,693.29
3991,693.4,,6,693.4
3992,693.57,,6,693.57
3993,693.68,,6,693.68
3994,693.79,,6,693.79
3995,693.87,,6,693.87
3996,693.98,,6,693.98
3997,694.13,,6,694.13
3998,694.31,,6,694.31
3999,694.42,,6,694.42
4000,694.49,,6,694.49
4001,694.62,,6,694.62
4002,694.74,,6,694.74
4003,694.82,,6,694.82
4004,694.93,,6,694.93
4005,695.03,,6,695.03
4006,695.11,,6,695.11
4007,695.17,,6,695.17
4008,695.31,,6,695.31
4009,695.39,,6,695.39
4010,695.59,,6,695.59
4011,695.77,,6,695.77
4012,695.96,,6,695.96
4013,696.18,,6,696.18
4014,696.37,,6,696.37
4015,696.57,,6,696.57
4016,696.68,,6,696.68
4017,696.9,,6,696.9
4018,697.08,,6,697.08
4019,697.2,,6,697.2
4020,697.32,,6,697.32
4021,697.52,,6,697.52
4022,697.74,,6,697.74
4023,697.95,,6,697.95
4024,698.17,,6,698.17
4025,698.33,,6,698.33
4026,698.43,,6,698.43
4027,698.58,,6,698.58
4028,698.73,,6,698.73
4029,698.89,,6,698.89
4030,699.1,,6,699.1
4031,699.23,,6,699.23
4032,699.37,,6,699.37
4033,699.51,,6,699.51
4034,699.63,,6,699.63
4035,699.81,,6,699.81
4036,699.93,,6,699.93
4037,700.04,,6,700.04
4038,700.23,,6,700.23
4039,700.43,,6,700.43
4040,700.63,,6,700.63
4041,700.78,,6,700.78
4042,700.96,,6,700.96
4043,701.19,,6,701.19
4044,701.33,,6,701.33
4045,701.5,,6,701.5
4046,701.7,,6,701.7
4047,701.93,,6,701.93
