#ice dated horizons for WDC. From WAIS WD2014 Chronology. https://doi.pangaea.de/10.1594/PANGAEA.902577		
#depth (m) 	Cal age [a BP] (ice age)	Cal age std e
143.778	494	2
144.021	495	2
144.17	496	2
144.412	497	2
144.598	498	2
144.86	499	2
145.045	500	2
145.318	501	2
145.476	502	2
145.761	503	2
145.916	504	2
146.081	505	2
146.339	506	2
146.567	507	2
146.878	508	2
147.167	509	2
147.319	510	2
147.497	511	2
147.743	512	2
147.92	513	2
148.206	514	2
148.409	515	2
148.69	516	2
148.906	517	2
149.057	518	2
149.284	519	2
149.488	520	2
149.746	521	2
150.009	522	2
150.197	523	2
150.409	524	2
150.706	525	2
150.968	526	2
151.138	527	2
151.415	528	2
151.581	529	2
151.827	530	2
152.047	531	2
152.275	532	2
152.617	533	2
152.779	534	2
153.065	535	2
153.228	536	2
153.462	537	2
153.732	538	2
153.932	539	2
154.167	540	2
154.429	541	2
154.672	542	2
154.938	543	2
155.208	544	2
155.464	545	2
155.76	546	2
156.069	547	2
156.373	548	2
156.597	549	2
156.747	550	2
156.951	551	2
157.195	552	2
157.487	553	2
157.692	554	2
157.915	555	2
158.119	556	2
158.373	557	2
158.677	558	2
158.89	559	2
159.12	560	2
159.402	561	2
159.603	562	2
159.857	563	2
160.058	564	2
160.188	565	2
160.393	566	2
160.616	567	2
160.778	568	2
161.013	569	2
161.279	570	2
161.433	571	2
161.669	572	2
161.925	573	2
162.067	574	2
162.36	575	2
162.568	576	2
162.796	577	2
163.056	578	2
163.368	579	2
163.568	580	2
163.814	581	2
164.107	582	2
164.315	583	2
164.619	584	2
164.778	585	2
165.024	586	2
165.221	587	2
165.4	588	2
165.595	589	2
165.857	590	2
166.107	591	2
166.254	592	2
166.504	593	2
166.712	594	2
166.909	595	2
167.063	596	2
167.333	597	2
167.56	598	2
167.826	599	2
168.023	600	2
168.347	601	2
168.666	602	2
168.809	603	2
168.994	604	2
169.209	605	2
169.429	606	2
169.664	607	2
169.861	608	2
170.15	609	2
170.296	610	2
170.519	611	2
170.811	612	2
170.962	613	2
171.177	614	2
171.428	615	2
171.678	616	2
171.909	617	2
172.14	618	2
172.349	619	2
172.591	620	2
172.823	621	2
173.011	622	2
173.281	623	2
173.477	624	2
173.67	625	2
173.851	626	2
174.09	627	2
174.305	628	2
174.464	629	2
174.733	630	2
174.956	631	2
175.153	632	2
175.431	633	2
175.716	634	2
175.938	635	2
176.18	636	2
176.404	637	2
176.57	638	2
176.816	639	2
177.148	640	2
177.378	641	2
177.53	642	2
177.822	643	2
178.069	644	2
178.304	645	2
178.57	646	2
178.784	647	2
179.016	648	2
179.309	649	2
179.524	650	2
179.755	651	2
180.01	652	2
180.225	653	2
180.433	654	2
180.661	655	2
180.898	656	2
181.076	657	2
181.295	658	2
181.507	659	2
181.699	660	2
181.993	661	2
182.223	662	2
182.469	663	2
182.664	664	2
182.854	665	2
183.046	666	2
183.266	667	2
183.589	668	2
183.836	669	2
184.052	670	2
184.259	671	2
184.449	672	2
184.638	673	2
184.811	674	2
185.038	675	2
185.234	676	2
185.46	677	2
185.744	678	2
185.93	679	2
186.127	680	2
186.368	681	2
186.685	682	2
186.893	683	2
187.134	684	2
187.32	685	2
187.528	686	2
187.779	687	2
187.987	688	2
188.173	689	2
188.381	690	2
188.665	691	1
188.917	692	1
189.114	693	1
189.377	694	2
189.672	695	2
189.902	696	2
190.109	697	2
190.285	698	2
190.525	699	2
190.755	700	2
190.963	701	2
191.149	702	2
191.379	703	2
191.674	704	2
191.98	705	2
192.254	706	2
192.527	707	2
192.757	708	2
192.998	709	2
193.217	710	2
193.414	711	2
193.654	712	2
193.873	713	2
194.114	714	2
194.322	715	2
194.595	716	2
194.847	717	2
195.011	718	2
195.274	719	2
195.471	720	2
195.799	721	2
196.018	722	2
196.193	723	2
196.39	724	2
196.619	725	2
196.86	726	2
197.024	727	2
197.309	728	2
197.506	729	2
197.801	730	2
198.064	731	2
198.239	732	2
198.457	733	2
198.775	734	2
198.972	735	2
199.169	736	2
199.355	737	2
199.584	738	2
199.913	739	2
200.186	740	2
200.394	741	2
200.678	742	2
200.919	743	2
201.269	744	2
201.51	745	2
201.762	746	2
201.959	747	2
202.167	748	2
202.407	749	2
202.692	750	2
202.856	751	2
202.998	752	2
203.282	753	2
203.468	754	2
203.764	755	2
203.994	756	2
204.212	757	2
204.453	758	2
204.748	759	2
204.945	760	2
205.153	761	2
205.438	762	2
205.722	763	2
205.941	764	2
206.138	765	2
206.28	766	2
206.554	767	2
206.805	768	2
207.013	769	2
207.254	770	2
207.473	771	2
207.757	772	2
207.976	773	2
208.184	774	2
208.359	775	2
208.589	776	2
208.808	777	2
208.961	778	2
209.147	779	2
209.398	780	2
209.65	781	2
209.88	782	2
210.099	783	2
210.35	784	2
210.547	785	2
210.7	786	2
211.029	787	2
211.237	788	2
211.455	789	2
211.707	790	2
211.871	791	2
212.156	792	2
212.374	793	2
212.615	794	2
212.878	795	2
213.042	796	2
213.337	797	2
213.567	798	2
213.808	799	2
214.114	800	2
214.3	801	2
214.53	802	2
214.759	803	2
214.978	804	2
215.317	805	2
215.536	806	2
215.843	807	2
216.018	808	2
216.226	809	2
216.521	810	2
216.74	811	2
216.915	812	2
217.156	813	2
217.407	814	2
217.582	815	2
217.878	816	2
218.086	817	2
218.315	818	2
218.611	819	2
218.873	820	2
219.158	821	2
219.42	822	2
219.639	823	2
219.913	824	2
220.142	825	2
220.339	826	2
