#This data file has 4 columns:			
#column 1:	Depth in m below the surface		
#column 2:	"Ice age following the WD2014 chronology, in years before 1950 C.E."		
#column 3:	"Accumulation reconstructed using an inverse firn densification model, in m ice equivalent per year"		
#column 4:	2 sigma accumulation uncertainty from monte-carlo simulation		
			
#Depth	Ice age	Accumulation	2 sigma uncertainty
#(m)	(years bp)	(m ice a-1)	(m ice a-1)
947.004	4065	0.2522	0.029
948.921	4075	0.25	0.029
951.031	4085	0.2563	0.029
952.895	4095	0.2602	0.029
954.995	4105	0.2595	0.029
957.085	4115	0.2577	0.029
959.083	4125	0.248	0.029
960.992	4135	0.2468	0.029
962.782	4145	0.2442	0.030
964.836	4155	0.2496	0.030
966.704	4165	0.2586	0.030
968.776	4175	0.2618	0.030
970.913	4185	0.2705	0.030
972.966	4195	0.2709	0.030
975.193	4205	0.259	0.030
977.106	4215	0.2619	0.030
979.12	4225	0.2559	0.030
981.133	4235	0.2584	0.030
983.125	4245	0.2658	0.030
985.19	4255	0.2636	0.030
987.306	4265	0.2547	0.030
989.247	4275	0.2462	0.030
991.018	4285	0.2406	0.030
992.845	4295	0.2479	0.029
994.832	4305	0.2603	0.030
996.968	4315	0.2587	0.030
998.944	4325	0.259	0.030
1000.713	4335	0.2455	0.030
1002.671	4345	0.2429	0.030
1004.562	4355	0.2446	0.030
1006.373	4365	0.2534	0.030
1008.275	4375	0.2575	0.030
1010.427	4385	0.2644	0.030
1012.45	4395	0.2595	0.030
1014.435	4405	0.2557	0.030
1016.237	4415	0.2522	0.030
1018.246	4425	0.2623	0.030
1020.361	4435	0.2665	0.030
1022.392	4445	0.2559	0.030
1024.348	4455	0.2413	0.030
1025.998	4465	0.2348	0.030
1027.81	4475	0.2363	0.030
1029.702	4485	0.2393	0.029
1031.568	4495	0.2402	0.029
1033.305	4505	0.2375	0.029
1035.196	4515	0.2462	0.029
1037.038	4525	0.2535	0.029
1039.078	4535	0.2555	0.029
1040.899	4545	0.2504	0.029
1042.82	4555	0.2437	0.030
1044.658	4565	0.2509	0.030
1046.471	4575	0.2456	0.030
1048.393	4585	0.2496	0.030
1050.263	4595	0.2525	0.030
1052.272	4605	0.251	0.030
1054.089	4615	0.251	0.030
1056.041	4625	0.2565	0.030
1057.778	4635	0.2555	0.030
1059.842	4645	0.248	0.030
1061.652	4655	0.2487	0.030
1063.44	4665	0.2433	0.030
1065.301	4675	0.2507	0.030
1067.162	4685	0.2482	0.030
1069.07	4695	0.2477	0.030
1070.845	4705	0.25	0.030
1072.787	4715	0.255	0.030
1074.714	4725	0.2554	0.030
1076.562	4735	0.2589	0.030
1078.4	4745	0.2489	0.030
1080.359	4755	0.2471	0.030
1082.144	4765	0.2428	0.030
1083.931	4775	0.2407	0.030
1085.661	4785	0.2454	0.030
1087.471	4795	0.2465	0.030
1089.336	4805	0.2515	0.030
1091.218	4815	0.2475	0.030
1093.015	4825	0.2458	0.030
1094.758	4835	0.239	0.030
1096.546	4845	0.2429	0.030
1098.265	4855	0.2462	0.030
1100.176	4865	0.2536	0.030
1102.101	4875	0.2562	0.030
1103.933	4885	0.2523	0.030
1105.833	4895	0.252	0.030
1107.599	4905	0.2542	0.031
1109.558	4915	0.2595	0.031
1111.308	4925	0.2567	0.031
1113.281	4935	0.2517	0.031
1115.133	4945	0.247	0.031
1116.87	4955	0.2477	0.031
1118.608	4965	0.2483	0.031
1120.54	4975	0.2471	0.031
1122.379	4985	0.2542	0.031
1124.083	4995	0.2541	0.031
1125.966	5005	0.2547	0.032
1127.879	5015	0.2628	0.032
1129.671	5025	0.2666	0.032
1131.791	5035	0.2693	0.032
1133.72	5045	0.2653	0.032
1135.586	5055	0.2556	0.032
1137.334	5065	0.2526	0.032
1139.129	5075	0.257	0.032
1141.053	5085	0.2621	0.032
1142.885	5095	0.2624	0.032
1144.848	5105	0.2574	0.032
1146.646	5115	0.252	0.032
1148.408	5125	0.2466	0.032
1150.12	5135	0.2499	0.032
1152.014	5145	0.2517	0.032
1153.876	5155	0.2596	0.032
1155.62	5165	0.2578	0.032
1157.476	5175	0.2637	0.032
1159.413	5185	0.2626	0.032
1161.378	5195	0.2574	0.032
1163.056	5205	0.2522	0.032
1164.858	5215	0.246	0.032
1166.517	5225	0.254	0.032
1168.353	5235	0.2534	0.032
1170.245	5245	0.2659	0.032
1172.051	5255	0.2698	0.032
1174.017	5265	0.257	0.032
1175.89	5275	0.2569	0.032
1177.589	5285	0.2474	0.033
1179.321	5295	0.2455	0.033
1181.039	5305	0.2472	0.033
1182.845	5315	0.2508	0.033
1184.661	5325	0.2605	0.033
1186.465	5335	0.264	0.033
1188.37	5345	0.2667	0.033
1190.295	5355	0.2652	0.033
1192.118	5365	0.2585	0.033
1193.829	5375	0.2492	0.033
1195.543	5385	0.2463	0.033
1197.32	5395	0.2613	0.033
1199.188	5405	0.2646	0.033
1201.066	5415	0.262	0.033
1202.959	5425	0.2463	0.033
1204.617	5435	0.2464	0.033
1206.207	5445	0.2467	0.033
1208.008	5455	0.2463	0.033
1209.715	5465	0.2513	0.033
1211.446	5475	0.245	0.033
1213.101	5485	0.2427	0.033
1214.756	5495	0.2485	0.033
1216.511	5505	0.2552	0.033
1218.276	5515	0.2675	0.033
1220.222	5525	0.2599	0.033
1222.104	5535	0.2561	0.033
1223.673	5545	0.2494	0.033
1225.476	5555	0.2542	0.033
1227.195	5565	0.2591	0.033
1229.06	5575	0.2548	0.033
1230.763	5585	0.2503	0.033
1232.468	5595	0.2502	0.033
1234.081	5605	0.2526	0.033
1236	5615	0.2575	0.033
1237.693	5625	0.2623	0.033
1239.551	5635	0.2517	0.033
1241.286	5645	0.2483	0.033
1242.815	5655	0.2417	0.033
1244.5	5665	0.2348	0.033
1246.165	5675	0.2428	0.033
1247.661	5685	0.2474	0.033
1249.493	5695	0.2496	0.033
1251.248	5705	0.2562	0.033
1252.882	5715	0.2503	0.032
1254.558	5725	0.2423	0.032
1256.261	5735	0.2513	0.032
1257.86	5745	0.248	0.032
1259.671	5755	0.2489	0.033
1261.293	5765	0.236	0.033
1262.829	5775	0.2307	0.033
1264.369	5785	0.2326	0.032
1266.007	5795	0.2379	0.032
1267.637	5805	0.2409	0.032
1269.239	5815	0.2411	0.032
1270.829	5825	0.2409	0.032
1272.516	5835	0.246	0.032
1274.167	5845	0.2481	0.032
1275.845	5855	0.2407	0.032
1277.406	5865	0.2413	0.032
1278.955	5875	0.2325	0.032
1280.559	5885	0.2325	0.032
1282.039	5895	0.2356	0.032
1283.609	5905	0.2343	0.032
1285.229	5915	0.2364	0.032
1286.77	5925	0.2333	0.032
1288.323	5935	0.2294	0.032
1289.783	5945	0.2323	0.032
1291.383	5955	0.2296	0.032
1292.92	5965	0.239	0.032
1294.385	5975	0.2389	0.032
1296.055	5985	0.2392	0.032
1297.674	5995	0.2434	0.032
1299.276	6005	0.2338	0.032
1300.845	6015	0.2348	0.032
1302.27	6025	0.2351	0.032
1303.901	6035	0.2362	0.032
1305.542	6045	0.2373	0.032
1307.008	6055	0.2395	0.032
1308.638	6065	0.2435	0.032
1310.235	6075	0.2432	0.032
1311.888	6085	0.2417	0.032
1313.386	6095	0.2405	0.032
1314.951	6105	0.2272	0.032
1316.526	6115	0.2245	0.032
1317.927	6125	0.2192	0.032
1319.327	6135	0.2223	0.032
1320.815	6145	0.2313	0.032
1322.38	6155	0.2346	0.032
1323.945	6165	0.2393	0.032
1325.509	6175	0.2396	0.032
1327.063	6185	0.24	0.032
1328.561	6195	0.239	0.033
1330.17	6205	0.2404	0.033
1331.734	6215	0.2462	0.033
1333.31	6225	0.2474	0.033
1334.962	6235	0.2435	0.033
1336.505	6245	0.2466	0.033
1338.091	6255	0.2427	0.033
1339.743	6265	0.2417	0.033
1341.275	6275	0.238	0.033
1342.719	6285	0.2339	0.033
1344.207	6295	0.2306	0.033
1345.859	6305	0.2394	0.033
1347.27	6315	0.2342	0.033
1348.78	6325	0.2334	0.033
1350.323	6335	0.2329	0.033
1351.789	6345	0.2402	0.033
1353.365	6355	0.2358	0.033
1354.863	6365	0.2355	0.033
1356.417	6375	0.2342	0.033
1357.85	6385	0.2405	0.033
1359.36	6395	0.2468	0.033
1361.045	6405	0.248	0.033
1362.643	6415	0.2516	0.033
1364.229	6425	0.2355	0.033
1365.706	6435	0.2352	0.033
1367.183	6445	0.2366	0.034
1368.769	6455	0.2456	0.034
1370.246	6465	0.2444	0.034
1371.953	6475	0.2497	0.034
1373.43	6485	0.2462	0.034
1375.038	6495	0.2408	0.034
1376.494	6505	0.2457	0.034
1378.047	6515	0.2417	0.034
1379.71	6525	0.2498	0.034
1381.242	6535	0.2498	0.034
1382.807	6545	0.25	0.034
1384.327	6555	0.2448	0.034
1385.925	6565	0.2497	0.034
1387.467	6575	0.2429	0.034
1389.119	6585	0.2484	0.034
1390.531	6595	0.2464	0.034
1392.117	6605	0.2468	0.034
1393.748	6615	0.2433	0.034
1395.29	6625	0.2477	0.034
1396.701	6635	0.2358	0.034
1398.299	6645	0.236	0.034
1399.765	6655	0.2447	0.034
1401.308	6665	0.2456	0.034
1402.873	6675	0.2475	0.034
1404.415	6685	0.2433	0.034
1405.87	6695	0.2415	0.034
1407.358	6705	0.2364	0.034
1408.802	6715	0.2381	0.034
1410.306	6725	0.2404	0.034
1411.811	6735	0.2428	0.034
1413.31	6745	0.2405	0.034
1414.83	6755	0.2422	0.034
1416.362	6765	0.2399	0.034
1417.818	6775	0.2439	0.034
1419.338	6785	0.237	0.034
1420.782	6795	0.2415	0.034
1422.281	6805	0.2333	0.034
1423.846	6815	0.2396	0.034
1425.104	6825	0.2398	0.034
1426.691	6835	0.2398	0.034
1428.157	6845	0.2427	0.034
1429.666	6855	0.2384	0.034
1431.067	6865	0.2343	0.034
1432.588	6875	0.2309	0.034
1433.944	6885	0.2296	0.034
1435.301	6895	0.2272	0.034
1436.712	6905	0.2356	0.034
1438.233	6915	0.2421	0.034
1439.699	6925	0.2436	0.034
1441.165	6935	0.241	0.035
1442.61	6945	0.2407	0.035
1444.087	6955	0.2411	0.035
1445.596	6965	0.2432	0.035
1446.997	6975	0.2444	0.035
1448.572	6985	0.2464	0.035
1450.06	6995	0.2445	0.035
1451.526	7005	0.2435	0.035
1453.014	7015	0.239	0.035
1454.502	7025	0.2403	0.034
1455.968	7035	0.2384	0.034
1457.336	7045	0.235	0.034
1458.747	7055	0.2313	0.034
1460.235	7065	0.2266	0.034
1461.614	7075	0.2288	0.034
1462.894	7085	0.2223	0.034
1464.283	7095	0.224	0.033
1465.531	7105	0.2276	0.033
1467.041	7115	0.228	0.033
1468.364	7125	0.2318	0.033
1469.732	7135	0.2253	0.033
1471.165	7145	0.2208	0.033
1472.424	7155	0.216	0.033
1473.627	7165	0.2167	0.033
1474.929	7175	0.2205	0.033
1476.319	7185	0.2293	0.033
1477.752	7195	0.2282	0.033
1479.098	7205	0.2248	0.033
1480.443	7215	0.2181	0.033
1481.625	7225	0.2055	0.033
1482.905	7235	0.213	0.033
1484.163	7245	0.2194	0.033
1485.476	7255	0.2244	0.033
1486.898	7265	0.2214	0.033
1488.222	7275	0.2178	0.033
1489.47	7285	0.2159	0.033
1490.695	7295	0.2132	0.033
1491.997	7305	0.2214	0.033
1493.397	7315	0.2199	0.033
1494.677	7325	0.2222	0.033
1495.848	7335	0.2171	0.032
1497.227	7345	0.2185	0.032
1498.572	7355	0.2185	0.032
1499.743	7365	0.2147	0.032
1501.045	7375	0.2103	0.032
1502.292	7385	0.2152	0.032
1503.496	7395	0.2096	0.032
1504.787	7405	0.2094	0.033
1506.001	7415	0.2096	0.033
1507.172	7425	0.2114	0.033
1508.43	7435	0.2121	0.033
1509.688	7445	0.2217	0.033
1510.968	7455	0.2199	0.033
1512.325	7465	0.2228	0.033
1513.561	7475	0.2226	0.033
1514.885	7485	0.2137	0.033
1516.122	7495	0.2144	0.034
1517.358	7505	0.2205	0.034
1518.682	7515	0.2247	0.034
1520.017	7525	0.2286	0.034
1521.319	7535	0.2266	0.034
1522.664	7545	0.2201	0.034
1523.966	7555	0.2179	0.034
1525.17	7565	0.2237	0.034
1526.406	7575	0.2255	0.034
1527.828	7585	0.2281	0.034
1529.24	7595	0.2299	0.034
1530.443	7605	0.2195	0.034
1531.734	7615	0.214	0.034
1532.927	7625	0.2166	0.034
1534.152	7635	0.2168	0.034
1535.378	7645	0.2245	0.034
1536.734	7655	0.2247	0.034
1538.058	7665	0.2214	0.034
1539.294	7675	0.2153	0.034
1540.476	7685	0.2125	0.034
1541.68	7695	0.2154	0.034
1542.971	7705	0.2147	0.034
1544.273	7715	0.223	0.034
1545.509	7725	0.2221	0.034
1546.855	7735	0.2212	0.034
1548.091	7745	0.2194	0.034
1549.305	7755	0.2106	0.034
1550.553	7765	0.2135	0.034
1551.713	7775	0.2235	0.034
1552.981	7785	0.2251	0.034
1554.349	7795	0.2282	0.034
1555.64	7805	0.2207	0.034
1556.855	7815	0.2155	0.034
1558.091	7825	0.2085	0.034
1559.327	7835	0.2097	0.034
1560.411	7845	0.2105	0.034
1561.68	7855	0.2147	0.034
1562.916	7865	0.2232	0.034
1564.163	7875	0.2184	0.034
1565.454	7885	0.2197	0.034
1566.636	7895	0.2204	0.034
1567.949	7905	0.2203	0.034
1569.163	7915	0.2218	0.035
1570.41	7925	0.2192	0.035
1571.68	7935	0.223	0.035
1572.905	7945	0.2246	0.035
1574.174	7955	0.2214	0.035
1575.41	7965	0.2194	0.035
1576.614	7975	0.2173	0.035
1577.839	7985	0.2128	0.035
1578.999	7995	0.2221	0.035
1580.246	8005	0.215	0.035
1581.581	8015	0.2263	0.035
1582.763	8025	0.2206	0.035
1584.076	8035	0.225	0.035
1585.192	8045	0.223	0.035
1586.614	8055	0.22	0.035
1587.785	8065	0.2157	0.036
1588.933	8075	0.2114	0.036
1590.093	8085	0.2197	0.036
1591.297	8095	0.2262	0.036
1592.653	8105	0.2285	0.036
1593.923	8115	0.2303	0.036
1595.203	8125	0.2249	0.036
1596.439	8135	0.2285	0.036
1597.675	8145	0.2208	0.036
1598.966	8155	0.2257	0.036
1600.236	8165	0.2234	0.036
1601.45	8175	0.2283	0.036
1602.73	8185	0.2288	0.036
