depth	LID
1984	54.66
1985	54.53
1986	54.36
1987	54.18
1988	53.98
1989	53.8
1990	53.63
1991	53.48
1992	53.37
1993	53.26
1994	53.14
1995	53.03
1996	52.93
1997	52.84
1998	52.77
1999	52.72
2000	52.68
2001	52.67
2002	52.67
2003	52.69
2004	52.73
2005	52.79
2006	52.86
2007	52.95
2008	53.05
2009	53.16
2010	53.28
2011	53.4
2012	53.53
2013	53.66
2014	53.77
2015	53.87
2016	53.96
2017	54.02
2018	54.07
2019	54.16
2020	54.33
2021	54.48
2022	54.61
2023	54.71
2024	54.75
2025	54.75
2026	54.74
2027	54.68
2028	54.58
2029	54.5
2030	54.41
2031	54.32
2032	54.23
2033	54.15
2034	54.07
2035	53.99
2036	53.93
2037	53.86
2038	53.81
2039	53.75
2040	53.7
2041	53.72
2042	53.74
2043	53.78
2044	53.83
2045	53.87
2046	53.97
2047	54.07
2048	54.17
2049	54.28
2050	54.39
2051	54.5
2052	54.63
2053	54.74
2054	54.87
2055	55.01
2056	55.16
2057	55.31
2058	55.47
2059	55.65
2060	55.83
2061	56.02
2062	56.22
2063	56.44
2064	56.65
2065	56.89
2066	57.22
2067	57.58
2068	57.96
2069	58.38
2070	58.93
2071	59.62
2072	60.35
2073	61.13
2074	61.93
2075	62.73
2076	63.59
2077	64.47
2078	65.28
2079	66.03
2080	66.72
2081	67.29
2082	67.82
2083	68.35
2084	68.75
2085	69.12
2086	69.49
2087	69.84
2088	70.13
2089	70.37
2090	70.58
2091	70.81
2092	71.05
2093	71.32
2094	71.52
2095	71.74
2096	71.91
2097	72.09
2098	72.26
2099	72.3
2100	72.32
2101	72.32
2102	72.28
2103	72.23
2104	72.12
2105	71.96
2106	71.78
2107	71.56
2108	71.35
2109	71.11
2110	70.87
2111	70.67
2112	70.47
2113	70.32
2114	70.25
2115	70.23
2116	70.24
2117	70.31
2118	70.45
2119	70.63
2120	70.87
2121	71.17
2122	71.51
2123	71.65
2124	71.8
2125	72.14
2126	72.54
2127	73.09
2128	73.57
2129	73.97
2130	74.23
2131	74.33
2132	74.24
2133	73.93
2134	73.43
2135	72.76
2136	72.06
2137	71.31
2138	70.52
2139	69.75
2140	68.98
2141	68.2
2142	67.35
2143	66.69
2144	66.11
2145	65.65
2146	65.35
2147	65.15
2148	65.02
2149	64.97
2150	65.01
2151	65.1
2152	65.26
2153	65.45
2154	65.69
2155	65.97
2156	66.28
2157	66.45
