#top depth (m)	bottom depth (m)	duration (yr)	sigma duration (yr)
2060.891	2063.903	100	3.0
2063.903	2067.123	100	6.0
2067.123	2070.156	100	3.0
2070.156	2071.823	100	4.0
2071.823	2073.384	100	9.0
2073.384	2074.915	100	5.0
2074.915	2076.395	100	3.0
2076.395	2077.896	100	5.0
2077.896	2079.412	100	3.0
2079.412	2080.853	100	5.0
2080.853	2082.478	100	9.0
2082.478	2083.881	100	7.0
2083.881	2085.311	100	6.0
2085.311	2086.742	100	10.0
2086.742	2088.204	100	9.0
2088.204	2089.547	100	8.0
2089.547	2090.968	100	10.0
2090.968	2092.288	100	8.0
2092.288	2093.569	100	11.0
2093.569	2095.077	100	8.0
2095.077	2096.864	100	4.0
2096.864	2098.985	100	5.0
2098.985	2100.776	100	4.0
2100.776	2102.386	100	5.0
2102.386	2103.965	100	8.0
2103.965	2105.474	100	4.0
2105.474	2107.003	100	7.0
2107.003	2108.535	100	3.0
2108.535	2110.142	100	6.0
2110.142	2111.839	100	3.0
2111.839	2113.767	100	3.0
2113.767	2115.82	100	2.0
2115.82	2118.121	100	2.0
2118.121	2120.56	100	4.0
2120.56	2123.195	100	3.0
2123.195	2125.134	100	4.0
2125.134	2126.581	100	9.0
2126.581	2128.028	100	8.0
2128.028	2129.413	100	5.0
2129.413	2130.752	100	4.0
2130.752	2132.093	100	7.0
2132.093	2133.472	100	5.0
2133.472	2134.805	100	6.0
2134.805	2136.479	100	6.0
2136.479	2138.216	100	6.0
2138.216	2140.026	100	5.0
2140.026	2141.809	100	5.0
2141.809	2143.607	100	6.0
2143.607	2145.5	100	7.0
2145.5	2147.733	100	4.0
2147.733	2149.974	100	4.0
2149.974	2152.364	100	5.0
2152.364	2154.785	100	4.0
2154.785	2157.222	100	3.0
2157.222	2158.724	100	3.0
2158.724	2160.078	100	4.0
2160.078	2161.314	100	6.0
2161.314	2162.624	100	5.0
2162.624	2163.916	100	6.0
2163.916	2165.278	100	5.0
2165.278	2166.58	100	5.0
2166.58	2167.853	100	5.0
2167.853	2169.25	100	2.0
2169.25	2170.713	100	5.0
2170.713	2172.373	100	6.0
2172.373	2174.248	100	2.0
2174.248	2175.849	100	3.0
2175.849	2177.411	100	5.0
2177.411	2179.037	100	7.0
2179.037	2180.656	100	6.0
2180.656	2182.344	100	6.0
2182.344	2184.124	100	3.0
2184.124	2185.805	100	6.0
2185.805	2187.512	100	6.0
2187.512	2189.343	100	8.0
2189.343	2191.379	100	5.0
2191.379	2193.443	100	5.0
2193.443	2195.58	100	3.0
2195.58	2197.82	100	4.0
2197.82	2200.012	100	4.0
2200.012	2202.107	100	8.0
2202.107	2204.376	100	5.0
2204.376	2206.757	100	6.0
2206.757	2209.032	100	5.0
2209.032	2211.403	100	5.0
2211.403	2213.653	100	7.0
2213.653	2216.081	100	5.0
2216.081	2218.831	100	5.0
2218.831	2221.582	100	3.0
2221.582	2223.318	100	3.0
2223.318	2224.677	100	4.0
2224.677	2226.033	100	7.0
2226.033	2227.396	100	7.0
2227.396	2228.749	100	5.0
2228.749	2230.034	100	7.0
2230.034	2231.268	100	2.0
2231.268	2232.52	100	6.0
2232.52	2233.737	100	5.0
2233.737	2234.992	100	5.0
2234.992	2236.196	100	5.0
2236.196	2237.347	100	5.0
2237.347	2238.464	100	4.0
2238.464	2239.616	100	6.0
2239.616	2240.798	100	3.0
2240.798	2242.028	100	5.0
2242.028	2243.441	100	7.0
2243.441	2245.035	100	5.0
2245.035	2246.571	100	5.0
2246.571	2248.245	100	4.0
2248.245	2250.096	100	4.0
2250.096	2252.145	100	3.0
2252.145	2253.966	100	4.0
2253.966	2255.848	100	5.0
2255.848	2257.677	100	6.0
2257.677	2259.051	100	6.0
2259.051	2260.431	100	8.0
2260.431	2261.866	100	4.0
2261.866	2263.468	100	5.0
2263.468	2265.137	100	5.0
2265.137	2266.796	100	4.0
2266.796	2268.406	100	4.0
2268.406	2270.025	100	4.0
2270.025	2271.664	100	4.0
2271.664	2273.285	100	4.0
2273.285	2274.938	100	7.0
2274.938	2276.646	100	4.0
2276.646	2278.35	100	4.0
2278.35	2280.082	100	1.0
2280.082	2281.775	100	4.0
