depth	data
2996.67	-5.3
2999.4	-6.9
3002.73	-8.9
3004.38	-8.9
3006.68	-7.5
3007.25	-7.5
3008.89	-6
3011.16	-3.9
3011.78	-3.7
3013.39	-3.6
3015.08	-4.2
3017.29	-6
3018.89	-6.7
3021.61	-7.6
3023.24	-7.1
3025.98	-6.4
3028.14	-5.1
3030.34	-4.8
3031.4	-4.2
3034.06	-8.6
3035.68	-5.8
3036.8	-8.2
3038.61	-10.8
3039.75	-9.8
3040.93	-8.3
3042.15	-6.6
3043.28	-4.6
3044.55	-7.5
3045.75	-4.8
3046.98	-7.8
3048.16	-7.5
3049.26	-7.1
3050.33	-9.1
3051.36	-7.9
3052.51	-7.2
3053.54	-7.3
3055.13	-9.4
3056.68	-4.5
3058.32	-3.7
3059.9	-5.3
3061.58	-3.1
3063.69	-6.3
3065.84	-6.3
3068.6	-4.7
3071.21	-4.6
3074.29	-3.6
3076.94	-1.8
3080.63	-1.4
3084.37	-0.7
3088.66	-2.9
3092.49	-3.8
3097.53	-7.1
3100.96	-8.1
3104.17	-7.3
3105.46	-7.1
3108.89	-4.3
3110.62	-6.1
3112.36	-4.3
3113.52	-5.4
3115.27	-4.6
3117.62	-2.3
3118.78	-5.9
3120.48	-1.4
3122.23	-3.9
3124.5	-5
3126.22	-4
3126.76	-3.1
3128.98	-3.5
3131.72	-10.6
3134.48	-9.5
3137.68	-6.7
3139.06	-4.3
3140.74	-5.4
3143.28	-3.7
3145.84	-8.7
3147.9	-4.6
3148.45	-6.1
3150.04	-8.3
3151.14	-5.8
3152.19	-7.5
3154.31	-4.5
3157.09	-5.2
3159.38	-6.9
3159.91	-5.8
3162.75	-5.2
3163.35	-8
3165.02	-3.3
3167.3	-6.4
3172.28	-7
3174.52	-7.6
3175.64	-5.8
3177.34	-5
3180.16	-2.5
3182.94	-2.6
3185.13	-7.9
3187.33	-3
3188.92	-9.8
